Unnamed: 0,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,additional_retirement_savings,new_accumulated_capital
173,50,551,3,1,5,-97233.82075859056,0.07,19770.57,15594.909117617572,-81638.91164097299
174,42,278,2,1,3,-13350.80457041318,0.34,86024.03,0.0,-13350.80457041318
175,53,331,1,1,1,21537.37814086863,0.29,55537.47,27463.275840116115,49000.653980984745
176,42,332,3,4,3,58061.34464492171,0.32,48537.79,0.0,58061.34464492171
177,38,313,3,1,2,-35402.143310300984,0.02,146662.65,0.0,-35402.143310300984
178,37,357,2,1,5,151715.25589027497,0.18,42247.37,0.0,151715.25589027497
179,55,616,2,1,3,47156.2698422152,0.17,87771.61,0.0,47156.2698422152
180,51,594,1,1,1,-61201.89511457091,0.35,23320.12,84188.54905096056,22986.65393638965
181,45,591,3,1,3,-79096.04505367641,0.22,42604.06,0.0,-79096.04505367641
182,57,562,2,1,3,236171.9968276771,0.25,24846.6,6682.39589567644,242854.39272335352
183,57,613,1,1,1,47872.33536446839,0.02,36325.84,3907.8770394822473,51780.21240395064
184,56,550,2,1,3,726941.1368131585,0.17,41008.89,0.0,726941.1368131585
185,47,593,1,1,1,489696.7837195629,0.09,88146.36,0.0,489696.7837195629
186,58,614,1,1,1,740381.6431887951,0.02,13044.17,1219.185538748608,741600.8287275437
187,38,318,1,1,1,116477.6065014968,0.04,30077.11,31977.17830313853,148454.78480463533
188,57,545,2,1,3,16467.99678445813,0.22,91619.36,0.0,16467.99678445813
189,54,561,1,1,1,77480.99346966618,0.03,120044.24,0.0,77480.99346966618
190,52,294,1,1,1,14255.68297581187,0.14,180701.58,0.0,14255.68297581187
191,51,315,1,1,1,18151.864244254142,0.13,28341.54,38003.272583143895,56155.13682739803
192,35,313,1,1,1,-55020.413722034325,0.04,140469.02,0.0,-55020.413722034325
193,57,660,1,1,1,71160.93739660742,0.07,86435.52,0.0,71160.93739660742
194,38,313,1,1,1,77018.3531855649,0.32,168009.51,0.0,77018.3531855649
195,41,300,1,1,1,94420.47725503628,0.09,12123.9,23984.909229989997,118405.38648502628
196,50,322,3,1,3,-97046.9446753114,0.06,97117.62,0.0,-97046.9446753114
197,36,306,2,1,5,7789.398865698812,0.16,94730.34,0.0,7789.398865698812
198,37,306,3,1,3,-26954.691312988783,0.16,45720.41,0.0,-26954.691312988783
199,49,338,2,1,3,-60172.45841953243,0.16,87047.13,0.0,-60172.45841953243
200,45,266,1,1,1,-107629.67983594596,0.19,133606.92,0.0,-107629.67983594596
201,50,336,1,1,1,448467.57118270645,0.31,98259.53,0.0,448467.57118270645
202,35,338,1,4,1,81187.16888335101,0.04,7315.7,9308.90852606005,90496.07740941107
203,56,578,3,1,3,10963.066074047883,0.12,110367.45,0.0,10963.066074047883
204,47,315,3,1,3,-55023.80023558719,0.08,22553.47,5192.459357149155,-49831.34087843803
205,41,315,2,1,3,19138.351018535013,0.13,33720.31,19271.615879456847,38409.966897991864
206,42,328,1,1,1,58195.93590851216,0.2,86326.63,0.0,58195.93590851216
207,58,616,2,1,5,-66794.24432638362,0.12,48719.25,0.0,-66794.24432638362
208,62,350,1,1,1,25021.72851917536,0.33,74804.85,0.0,25021.72851917536
209,48,660,2,1,3,29774.500860311487,0.31,3258.46,13438.60028007964,43213.101140391125
210,49,660,3,1,5,-39718.10504550262,0.22,34416.66,18572.235745506237,-21145.869299996382
211,51,331,3,1,3,85609.03374787928,0.27,74450.97,0.0,85609.03374787928
212,46,352,1,1,1,89115.88198097725,0.16,72442.97,0.0,89115.88198097725
213,47,567,2,1,3,26681.19872580972,0.06,79478.97,0.0,26681.19872580972
214,46,295,2,1,2,650593.3372563366,0.15,12720.97,29619.059075699664,680212.3963320362
215,51,587,1,1,1,114763.87312870266,0.01,46979.03,969.143842073233,115733.01697077589
216,50,587,3,1,3,-91820.09719202736,0.14,15256.18,24067.969773457702,-67752.12741856965
217,54,551,3,1,2,-72022.03093471643,0.09,4243.51,2936.0191290935,-69086.01180562293
218,52,551,3,1,3,33970.87003446786,0.16,61110.34,0.0,33970.87003446786
219,55,294,1,1,1,17458.105848037885,0.14,57864.69,11154.637264231133,28612.743112269018
220,55,561,1,1,1,-108542.57872303748,0.25,175353.24,0.0,-108542.57872303748
221,58,545,2,1,5,-368455.2304815564,0.22,147944.41,0.0,-368455.2304815564
222,59,561,1,1,1,-106175.68692932502,0.24,95829.59,0.0,-106175.68692932502
223,46,308,1,1,1,440.23728343586095,0.01,56891.27,1766.1817581747096,2206.4190416105703
224,51,538,2,1,3,-122836.98640889474,0.08,97494.22,0.0,-122836.98640889474
225,53,538,2,1,3,59514.00203537222,0.15,38065.19,0.0,59514.00203537222
226,39,586,2,1,4,-88044.8395738676,0.21,33020.69,34644.26721200471,-53400.5723618629
227,48,578,1,1,1,93821.44981223278,0.2,74689.1,0.0,93821.44981223278
228,62,591,3,1,3,96626.70014001676,0.23,107864.87,0.0,96626.70014001676
229,63,591,1,1,1,161912.4211704895,0.19,116974.18,0.0,161912.4211704895
230,54,625,2,1,5,-35319.092950118174,0.11,94859.55,0.0,-35319.092950118174
231,61,591,1,1,1,-128849.09742590223,0.08,91259.51,0.0,-128849.09742590223
232,62,578,1,1,1,43495.48439976342,0.05,16732.14,1786.921099069344,45282.40549883277
233,35,582,2,1,5,103381.52365128926,0.31,32164.98,63439.22354278524,166820.7471940745
234,49,315,3,1,3,23423.660990911107,0.06,87559.45,0.0,23423.660990911107
235,63,613,1,1,1,193679.03293037825,0.09,57040.03,1608.8382311227201,195287.87116150098
236,42,644,3,1,5,-135678.515003635,0.31,49646.7,0.0,-135678.515003635
237,43,644,2,1,3,83667.53277496307,0.13,84971.86,0.0,83667.53277496307
238,41,644,3,1,5,36069.326710338224,0.25,86905.22,0.0,36069.326710338224
239,63,617,1,1,1,-11329.887872589165,0.13,129488.31,0.0,-11329.887872589165
240,63,617,3,1,3,-163064.06865838025,0.23,67804.83,0.0,-163064.06865838025
241,47,660,1,1,1,-78272.44926069249,0.16,15238.44,35083.28446414497,-43189.16479654752
242,56,614,3,1,3,-213453.64161984625,0.05,76634.05,0.0,-213453.64161984625
243,59,587,1,1,1,14956.151011245996,0.01,113256.34,0.0,14956.151011245996
244,61,619,1,1,1,-38794.263086583785,0.34,37651.69,27298.948340480005,-11495.31474610378
245,39,318,3,1,3,6494.397835068547,0.27,61230.98,0.0,6494.397835068547
246,52,313,3,1,5,-129588.2467615828,0.18,30783.84,10418.358569804323,-119169.88819177849
247,51,551,3,1,3,19029.55437766952,0.15,51518.36,0.0,19029.55437766952
248,49,244,1,1,1,155551.47494866466,0.09,58934.54,13010.236551263128,168561.7114999278
249,53,551,1,1,1,238117.18968173448,0.3,12128.96,31022.94852656278,269140.13820829726
250,47,530,2,1,3,76260.40369285627,0.34,48731.76,0.0,76260.40369285627
251,53,344,1,2,1,-166212.05093496584,0.1,147362.33,0.0,-166212.05093496584
252,40,617,2,1,5,-434750.3402374457,0.0,83830.82,0.0,-434750.3402374457
253,40,329,3,1,3,25779.912378864967,0.34,83473.1,0.0,25779.912378864967
254,45,336,1,1,1,-130434.70575222936,0.16,121122.01,0.0,-130434.70575222936
255,53,301,1,1,1,-166634.7944530859,0.08,38815.39,26474.76993924095,-140160.02451384495
256,56,316,2,1,2,38981.59201172336,0.3,91818.23,0.0,38981.59201172336
257,50,304,1,1,1,-103524.90130094445,0.29,102214.15,0.0,-103524.90130094445
258,38,301,1,1,1,124756.04376335394,0.14,53199.26,39592.020504314336,164348.0642676683
259,47,341,1,1,1,-151945.15167919674,0.04,92675.68,0.0,-151945.15167919674
260,35,315,1,1,1,58147.96515061047,0.08,117185.82,0.0,58147.96515061047
261,39,315,3,1,3,97732.98624588546,0.0,8555.79,0.0,97732.98624588546
262,37,347,2,1,5,89659.52713612258,0.1,69594.96,0.0,89659.52713612258
263,51,288,1,1,1,621080.6180962581,0.03,30197.71,9344.357905393095,630424.9760016513
264,57,293,3,1,2,-142543.5313575417,0.06,30084.0,1941.8337941660911,-140601.6975633756
265,41,324,1,4,1,-100639.21801273512,0.1,43786.12,38499.020345798126,-62140.19766693699
266,55,281,1,1,1,66372.76945837958,0.02,39865.98,5489.29069429157,71862.06015267115
267,58,566,1,1,1,-56551.21720925001,0.28,12798.47,16747.093421008052,-39804.12378824196
268,58,551,3,1,3,-100655.153904391,0.05,30689.71,1434.221212249938,-99220.93269214107
269,59,566,1,1,1,-120927.18353398096,0.34,18336.02,24920.84458947476,-96006.3389445062
270,35,312,1,1,1,-4757.795398838157,0.34,75884.01,0.0,-4757.795398838157
271,51,566,1,1,1,-220364.2118660948,0.34,42189.63,59183.25192626739,-161180.9599398274
272,57,551,1,1,1,-127322.91624256223,0.31,75200.96,0.0,-127322.91624256223
273,44,300,1,1,1,125012.24935493604,0.25,52244.51,46864.520874152826,171876.77022908887
274,35,337,1,1,1,4125.320732225942,0.35,10346.26,115195.18219169701,119320.50292392295
275,59,551,3,1,3,81749.39001199297,0.31,63156.53,0.0,81749.39001199297
276,55,588,2,1,3,-51691.74076581283,0.08,35857.98,0.0,-51691.74076581283
277,62,564,1,1,1,14069.463058460571,0.13,5960.53,1655.0537903969887,15724.51684885756
278,36,298,1,1,1,-39275.235548915065,0.31,26826.4,249417.07402060658,210141.83847169153
279,54,625,3,1,4,-167077.00076790125,0.32,59341.81,0.0,-167077.00076790125
280,56,385,2,4,3,-25182.237777407743,0.23,21436.99,12061.193991273545,-13121.043786134198
281,43,327,1,1,1,490431.8440233152,0.09,107067.02,0.0,490431.8440233152
282,63,588,3,1,3,-279468.99255383364,0.12,100852.87,0.0,-279468.99255383364
283,36,303,1,1,1,212507.27896132952,0.23,22669.1,156373.87728753028,368881.1562488598
284,53,310,2,1,3,4365.179627311174,0.27,43176.58,0.0,4365.179627311174
285,56,585,1,1,1,-76687.50259198,0.13,115776.71,0.0,-76687.50259198
286,54,545,2,1,5,10668.670791465876,0.07,59791.72,0.0,10668.670791465876
287,48,301,1,1,1,-42776.0983490568,0.01,56674.98,1507.9999241706068,-41268.09842488619
288,42,286,1,1,1,-59335.26128276462,0.03,49813.22,6149.726128307452,-53185.53515445717
289,48,301,1,1,1,-43565.3252496238,0.28,19242.92,71681.80855317367,28116.483303549874
290,56,535,2,1,3,235591.96762023872,0.1,79088.86,0.0,235591.96762023872
291,56,535,3,1,3,48907.18992828699,0.08,152621.63,0.0,48907.18992828699
292,51,526,1,1,1,6622.026348388753,0.35,46060.52,33256.84728322796,39878.87363161671
293,47,294,3,1,5,59834.15437568378,0.15,82777.01,0.0,59834.15437568378
294,53,526,1,1,1,13193.098606041342,0.33,27203.52,76538.0330029494,89731.13160899075
295,42,588,2,1,5,109451.81442640508,0.07,6121.54,8816.955331146846,118268.76975755193
296,42,588,2,1,3,126344.67999872568,0.07,45251.94,0.0,126344.67999872568
297,38,301,1,1,1,-246397.6881926916,0.33,37709.43,265793.3084589787,19395.620266287122
298,50,526,3,1,4,68296.9086503052,0.31,94159.15,0.0,68296.9086503052
299,46,300,1,1,1,138401.45916765791,0.03,36210.35,16862.18104125332,155263.64020891124
300,54,566,1,1,1,70926.68818521428,0.13,101969.84,0.0,70926.68818521428
301,48,248,1,1,1,62828.05990010226,0.07,11307.45,10530.346565445678,73358.40646554793
302,36,586,3,1,3,-260095.45141134868,0.02,26995.62,3238.585655041864,-256856.86575630683
303,41,586,2,1,3,123507.94850517112,0.25,35925.99,0.0,123507.94850517112
304,53,375,1,4,1,11884.943377088151,0.27,18441.8,42452.70088477899,54337.64426186714
305,63,625,1,1,1,276598.79118703713,0.14,146135.45,0.0,276598.79118703713
306,43,327,1,1,1,63981.73380278045,0.17,57630.81,37679.85828224003,101661.59208502047
307,56,592,1,1,1,-21356.73371809906,0.22,75750.57,0.0,-21356.73371809906
308,42,327,2,1,3,89442.35528100336,0.23,218464.46,0.0,89442.35528100336
309,38,685,2,1,3,15213.944014885476,0.05,35075.72,9322.89166538077,24536.835680266246
310,36,615,1,1,1,88925.18560864846,0.18,48466.67,52329.64310087455,141254.82870952302
311,51,625,3,1,3,84091.39549693743,0.19,61246.11,0.0,84091.39549693743
312,39,303,3,1,3,10696.80670904247,0.18,69055.24,0.0,10696.80670904247
313,53,300,1,4,1,13275.576647414808,0.04,4047.9,1380.4733281960252,14656.049975610833
314,50,298,3,1,3,66153.37942340296,0.08,18930.41,17065.36669745493,83218.74612085789
315,54,310,2,1,3,-176500.6932463185,0.13,68962.83,0.0,-176500.6932463185
316,51,591,1,1,1,-247708.5997172265,0.0,13491.09,0.0,-247708.5997172265
317,44,566,2,1,5,596927.8623823457,0.0,30332.45,0.0,596927.8623823457
